VerbAnalysis,CoreAnalysis,Person,Number,Tense,Mood,Voice,Gender,Case,PerseusType
urn:cite:hclat:verbAnalyses.103,urn:cite:hclat:analyses.1190,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.104,urn:cite:hclat:analyses.1222,1st,singular,present,indicative,active,,,conj4
urn:cite:hclat:verbAnalyses.105,urn:cite:hclat:analyses.1226,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.106,urn:cite:hclat:analyses.1227,,,,supine,,,,pp4
urn:cite:hclat:verbAnalyses.107,urn:cite:hclat:analyses.1227,,plural,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.108,urn:cite:hclat:analyses.1227,,plural,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.109,urn:cite:hclat:analyses.1227,,singular,perfect,participle,passive,masculine,accusative,pp4
urn:cite:hclat:verbAnalyses.110,urn:cite:hclat:analyses.1227,,singular,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.111,urn:cite:hclat:analyses.1227,,singular,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.112,urn:cite:hclat:analyses.1227,,singular,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.113,urn:cite:hclat:analyses.1233,2nd,singular,present,imperative,active,,,conj4
urn:cite:hclat:verbAnalyses.114,urn:cite:hclat:analyses.1234,,plural,,gerundive,passive,neuter,accusative,conj3
urn:cite:hclat:verbAnalyses.115,urn:cite:hclat:analyses.1234,,plural,,gerundive,passive,neuter,nominative,conj3
urn:cite:hclat:verbAnalyses.116,urn:cite:hclat:analyses.1234,,plural,,gerundive,passive,neuter,vocative,conj3
urn:cite:hclat:verbAnalyses.117,urn:cite:hclat:analyses.1234,,singular,,gerundive,passive,feminine,ablative,conj3
urn:cite:hclat:verbAnalyses.118,urn:cite:hclat:analyses.1234,,singular,,gerundive,passive,feminine,nominative,conj3
urn:cite:hclat:verbAnalyses.119,urn:cite:hclat:analyses.1234,,singular,,gerundive,passive,feminine,vocative,conj3
urn:cite:hclat:verbAnalyses.120,urn:cite:hclat:analyses.1234,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.121,urn:cite:hclat:analyses.1235,,plural,,gerundive,passive,feminine,nominative,conj3
urn:cite:hclat:verbAnalyses.122,urn:cite:hclat:analyses.1235,,plural,,gerundive,passive,feminine,vocative,conj3
urn:cite:hclat:verbAnalyses.123,urn:cite:hclat:analyses.1235,,singular,,gerundive,passive,feminine,dative,conj3
urn:cite:hclat:verbAnalyses.124,urn:cite:hclat:analyses.1235,,singular,,gerundive,passive,feminine,genitive,conj3
urn:cite:hclat:verbAnalyses.125,urn:cite:hclat:analyses.1237,,singular,,gerundive,passive,masculine,ablative,conj3
urn:cite:hclat:verbAnalyses.126,urn:cite:hclat:analyses.1237,,singular,,gerundive,passive,masculine,dative,conj3
urn:cite:hclat:verbAnalyses.127,urn:cite:hclat:analyses.1237,,singular,,gerundive,passive,neuter,ablative,conj3
urn:cite:hclat:verbAnalyses.128,urn:cite:hclat:analyses.1237,,singular,,gerundive,passive,neuter,dative,conj3
urn:cite:hclat:verbAnalyses.129,urn:cite:hclat:analyses.1237,1st,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.130,urn:cite:hclat:analyses.1238,,singular,,gerundive,passive,masculine,nominative,conj3
urn:cite:hclat:verbAnalyses.131,urn:cite:hclat:analyses.1240,1st,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.132,urn:cite:hclat:analyses.1240,2nd,singular,present,imperative,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.133,urn:cite:hclat:analyses.1252,1st,singular,present,indicative,active,,,conj3_io
urn:cite:hclat:verbAnalyses.134,urn:cite:hclat:analyses.1253,3rd,singular,perfect,subjunctive,active,,,evperf
urn:cite:hclat:verbAnalyses.135,urn:cite:hclat:analyses.1253,3rd,singular,present,indicative,active,,,conj3
urn:cite:hclat:verbAnalyses.136,urn:cite:hclat:analyses.126,2nd,singular,present,imperative,active,,,conj2
urn:cite:hclat:verbAnalyses.137,urn:cite:hclat:analyses.1260,1st,singular,future perfect,indicative,active,,,evperf
urn:cite:hclat:verbAnalyses.138,urn:cite:hclat:analyses.1274,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.139,urn:cite:hclat:analyses.1277,2nd,singular,present,imperative,active,,,conj3
urn:cite:hclat:verbAnalyses.140,urn:cite:hclat:analyses.1279,3rd,singular,present,subjunctive,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.141,urn:cite:hclat:analyses.1280,,plural,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.142,urn:cite:hclat:analyses.1280,,plural,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.143,urn:cite:hclat:analyses.1280,,plural,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.144,urn:cite:hclat:analyses.1280,,singular,perfect,participle,passive,feminine,ablative,pp4
urn:cite:hclat:verbAnalyses.145,urn:cite:hclat:analyses.1280,,singular,perfect,participle,passive,feminine,nominative,pp4
urn:cite:hclat:verbAnalyses.146,urn:cite:hclat:analyses.1280,,singular,perfect,participle,passive,feminine,vocative,pp4
urn:cite:hclat:verbAnalyses.147,urn:cite:hclat:analyses.1281,,plural,perfect,participle,passive,feminine,nominative,pp4
urn:cite:hclat:verbAnalyses.148,urn:cite:hclat:analyses.1281,,plural,perfect,participle,passive,feminine,vocative,pp4
urn:cite:hclat:verbAnalyses.149,urn:cite:hclat:analyses.1281,,singular,perfect,participle,passive,feminine,dative,pp4
urn:cite:hclat:verbAnalyses.150,urn:cite:hclat:analyses.1281,,singular,perfect,participle,passive,feminine,genitive,pp4
urn:cite:hclat:verbAnalyses.151,urn:cite:hclat:analyses.129,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.152,urn:cite:hclat:analyses.1302,1st,singular,future,indicative,active,,,conj3
urn:cite:hclat:verbAnalyses.153,urn:cite:hclat:analyses.1302,1st,singular,present,subjunctive,active,,,conj3
urn:cite:hclat:verbAnalyses.154,urn:cite:hclat:analyses.1303,2nd,singular,present,indicative,active,,,conj3
urn:cite:hclat:verbAnalyses.155,urn:cite:hclat:analyses.1304,,,,supine,,,,pp4
urn:cite:hclat:verbAnalyses.156,urn:cite:hclat:analyses.1304,,plural,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.157,urn:cite:hclat:analyses.1304,,plural,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.158,urn:cite:hclat:analyses.1304,,singular,perfect,participle,passive,masculine,accusative,pp4
urn:cite:hclat:verbAnalyses.159,urn:cite:hclat:analyses.1304,,singular,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.160,urn:cite:hclat:analyses.1304,,singular,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.161,urn:cite:hclat:analyses.1304,,singular,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.162,urn:cite:hclat:analyses.1310,,plural,,gerundive,passive,masculine,genitive,conj3
urn:cite:hclat:verbAnalyses.163,urn:cite:hclat:analyses.1310,,plural,,gerundive,passive,neuter,genitive,conj3
urn:cite:hclat:verbAnalyses.164,urn:cite:hclat:analyses.1310,,singular,,gerundive,passive,masculine,accusative,conj3
urn:cite:hclat:verbAnalyses.165,urn:cite:hclat:analyses.1310,,singular,,gerundive,passive,neuter,accusative,conj3
urn:cite:hclat:verbAnalyses.166,urn:cite:hclat:analyses.1310,,singular,,gerundive,passive,neuter,nominative,conj3
urn:cite:hclat:verbAnalyses.167,urn:cite:hclat:analyses.1310,,singular,,gerundive,passive,neuter,vocative,conj3
urn:cite:hclat:verbAnalyses.168,urn:cite:hclat:analyses.1314,3rd,singular,present,subjunctive,active,,,conj2
urn:cite:hclat:verbAnalyses.169,urn:cite:hclat:analyses.1316,3rd,singular,future perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.170,urn:cite:hclat:analyses.1316,3rd,singular,perfect,subjunctive,active,,,perfstem
urn:cite:hclat:verbAnalyses.171,urn:cite:hclat:analyses.132,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.172,urn:cite:hclat:analyses.1320,2nd,singular,present,indicative,active,,,conj3
urn:cite:hclat:verbAnalyses.173,urn:cite:hclat:analyses.1321,3rd,plural,present,indicative,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.174,urn:cite:hclat:analyses.1322,1st,singular,present,indicative,active,,,conj3
urn:cite:hclat:verbAnalyses.175,urn:cite:hclat:analyses.1326,,singular,present,participle,active,feminine,nominative,conj2
urn:cite:hclat:verbAnalyses.176,urn:cite:hclat:analyses.1326,,singular,present,participle,active,feminine,vocative,conj2
urn:cite:hclat:verbAnalyses.177,urn:cite:hclat:analyses.1326,,singular,present,participle,active,masculine,nominative,conj2
urn:cite:hclat:verbAnalyses.178,urn:cite:hclat:analyses.1326,,singular,present,participle,active,masculine,vocative,conj2
urn:cite:hclat:verbAnalyses.179,urn:cite:hclat:analyses.1326,,singular,present,participle,active,neuter,accusative,conj2
urn:cite:hclat:verbAnalyses.180,urn:cite:hclat:analyses.1326,,singular,present,participle,active,neuter,nominative,conj2
