Lemma,LexEntity
homo,urn:cite:perseus:latlexent.lex27420.1
honor,urn:cite:perseus:latlexent.lex27445.1
honorus,urn:cite:perseus:latlexent.lex27461.1
horreum,urn:cite:perseus:latlexent.lex27512.1
hortensius,urn:cite:perseus:latlexent.lex27537.1
hortus,urn:cite:perseus:latlexent.lex27543.1
hostis,urn:cite:perseus:latlexent.lex27570.1
hostus,urn:cite:perseus:latlexent.lex27572.1
huc,urn:cite:perseus:latlexent.lex27573.1
humilis,urn:cite:perseus:latlexent.lex27603.1
idem,urn:cite:perseus:latlexent.lex27815.1
ille,urn:cite:perseus:latlexent.lex27940.1
imperator,urn:cite:perseus:latlexent.lex28296.1
imperatorius,urn:cite:perseus:latlexent.lex28298.1
imperium,urn:cite:perseus:latlexent.lex28319.1
impero,urn:cite:perseus:latlexent.lex28326.1
impurus,urn:cite:perseus:latlexent.lex28545.1
in,urn:cite:perseus:latlexent.lex28556.1
incendium,urn:cite:perseus:latlexent.lex28751.1
indicium,urn:cite:perseus:latlexent.lex29252.1
infelix,urn:cite:perseus:latlexent.lex29615.1
inferus,urn:cite:perseus:latlexent.lex29643.1
ingenuus,urn:cite:perseus:latlexent.lex29837.1
inscriptio,urn:cite:perseus:latlexent.lex30332.1
insequor,urn:cite:perseus:latlexent.lex30385.1
insigne,urn:cite:perseus:latlexent.lex30427.1
insignis,urn:cite:perseus:latlexent.lex30431.1
insigno,urn:cite:perseus:latlexent.lex30436.1
instinctus,urn:cite:perseus:latlexent.lex30561.1
instinguo,urn:cite:perseus:latlexent.lex30562.1
insula,urn:cite:perseus:latlexent.lex30628.1
inter,urn:cite:perseus:latlexent.lex30744.1
intercedo,urn:cite:perseus:latlexent.lex30770.1
intro,urn:cite:perseus:latlexent.lex31213.1
invasor,urn:cite:perseus:latlexent.lex31307.1
invictus,urn:cite:perseus:latlexent.lex31366.1
ipse,urn:cite:perseus:latlexent.lex31463.1
is,urn:cite:perseus:latlexent.lex31616.1
iste,urn:cite:perseus:latlexent.lex31639.1
ita,urn:cite:perseus:latlexent.lex31653.1
item,urn:cite:perseus:latlexent.lex31657.1
iter,urn:cite:perseus:latlexent.lex31658.1
iterum,urn:cite:perseus:latlexent.lex31666.1
itis,urn:cite:perseus:latlexent.lex31675.1
ito,urn:cite:perseus:latlexent.lex31677.1
jaceo,urn:cite:perseus:latlexent.lex31763.1
jam,urn:cite:perseus:latlexent.lex31794.1
juba,urn:cite:perseus:latlexent.lex31842.1
jubeo,urn:cite:perseus:latlexent.lex31845.1
judex,urn:cite:perseus:latlexent.lex31855.1
judicium,urn:cite:perseus:latlexent.lex31868.1
jus,urn:cite:perseus:latlexent.lex31952.1
jussus,urn:cite:perseus:latlexent.lex31967.1
justa,urn:cite:perseus:latlexent.lex31968.1
justus,urn:cite:perseus:latlexent.lex31978.1
laicus,urn:cite:perseus:latlexent.lex32184.1
latus,urn:cite:perseus:latlexent.lex32483.1
latus,urn:cite:perseus:latlexent.lex32485.1
lavacrum,urn:cite:perseus:latlexent.lex32525.1
lavo,urn:cite:perseus:latlexent.lex32534.1
legatum,urn:cite:perseus:latlexent.lex32581.1
legatus,urn:cite:perseus:latlexent.lex32582.1
lego,urn:cite:perseus:latlexent.lex32600.1
lego,urn:cite:perseus:latlexent.lex32601.1
leo,urn:cite:perseus:latlexent.lex32668.1
lex,urn:cite:perseus:latlexent.lex32778.1
liber,urn:cite:perseus:latlexent.lex32809.1
liber,urn:cite:perseus:latlexent.lex32811.1
liberta,urn:cite:perseus:latlexent.lex32821.1
libertas,urn:cite:perseus:latlexent.lex32822.1
libertus,urn:cite:perseus:latlexent.lex32829.1
libo,urn:cite:perseus:latlexent.lex32840.1
lignarius,urn:cite:perseus:latlexent.lex32900.1
lignum,urn:cite:perseus:latlexent.lex32909.1
ligo,urn:cite:perseus:latlexent.lex32911.1
ligurio,urn:cite:perseus:latlexent.lex32914.1
lito,urn:cite:perseus:latlexent.lex33111.1
loco,urn:cite:perseus:latlexent.lex33173.1
locus,urn:cite:perseus:latlexent.lex33185.1
loquor,urn:cite:perseus:latlexent.lex33259.1
luci,urn:cite:perseus:latlexent.lex33310.1
lucius,urn:cite:perseus:latlexent.lex33329.1
lucus,urn:cite:perseus:latlexent.lex33382.1
lux,urn:cite:perseus:latlexent.lex33528.1
magis,urn:cite:perseus:latlexent.lex33706.1
magis,urn:cite:perseus:latlexent.lex33707.1
magistratus,urn:cite:perseus:latlexent.lex33717.1
magistro,urn:cite:perseus:latlexent.lex33719.1
magnitudo,urn:cite:perseus:latlexent.lex33753.1
magnus,urn:cite:perseus:latlexent.lex33755.1
magnus,urn:cite:perseus:latlexent.lex33756.1
magus,urn:cite:perseus:latlexent.lex33760.1
majestas,urn:cite:perseus:latlexent.lex33771.1
maledico,urn:cite:perseus:latlexent.lex33803.1
maledictio,urn:cite:perseus:latlexent.lex33804.1
malum,urn:cite:perseus:latlexent.lex33868.1
malus,urn:cite:perseus:latlexent.lex33873.1
malus,urn:cite:perseus:latlexent.lex33874.1
malus,urn:cite:perseus:latlexent.lex33876.1
mamma,urn:cite:perseus:latlexent.lex33883.1
mammo,urn:cite:perseus:latlexent.lex33889.1
mando,urn:cite:perseus:latlexent.lex33926.1
manus,urn:cite:perseus:latlexent.lex34050.1
marcus,urn:cite:perseus:latlexent.lex34069.1
martyrium,urn:cite:perseus:latlexent.lex34117.1
marum,urn:cite:perseus:latlexent.lex34118.1
mas,urn:cite:perseus:latlexent.lex34119.1
mater,urn:cite:perseus:latlexent.lex34160.1
maximus,urn:cite:perseus:latlexent.lex34229.1
medico,urn:cite:perseus:latlexent.lex34281.1
meio,urn:cite:perseus:latlexent.lex34333.1
melioro,urn:cite:perseus:latlexent.lex34377.1
membro,urn:cite:perseus:latlexent.lex34443.1
membrum,urn:cite:perseus:latlexent.lex34445.1
memor,urn:cite:perseus:latlexent.lex34450.1
memoria,urn:cite:perseus:latlexent.lex34463.1
mens,urn:cite:perseus:latlexent.lex34506.1
mensis,urn:cite:perseus:latlexent.lex34512.1
menta,urn:cite:perseus:latlexent.lex34532.1
mentior,urn:cite:perseus:latlexent.lex34541.1
mentum,urn:cite:perseus:latlexent.lex34548.1
mereo,urn:cite:perseus:latlexent.lex34589.1
mereor,urn:cite:perseus:latlexent.lex34590.1
merito,urn:cite:perseus:latlexent.lex34616.1
meritum,urn:cite:perseus:latlexent.lex34618.1
merum,urn:cite:perseus:latlexent.lex34636.1
merus,urn:cite:perseus:latlexent.lex34637.1
meto,urn:cite:perseus:latlexent.lex34705.1
meum,urn:cite:perseus:latlexent.lex34730.1
meus,urn:cite:perseus:latlexent.lex34731.1
miles,urn:cite:perseus:latlexent.lex34760.1
mille,urn:cite:perseus:latlexent.lex34781.1
minius,urn:cite:perseus:latlexent.lex34871.1
misceo,urn:cite:perseus:latlexent.lex34935.1
mius,urn:cite:perseus:latlexent.lex35027.1
moderatio,urn:cite:perseus:latlexent.lex35046.1
modium,urn:cite:perseus:latlexent.lex35072.1
modius,urn:cite:perseus:latlexent.lex35073.1
modus,urn:cite:perseus:latlexent.lex35086.1
monachus,urn:cite:perseus:latlexent.lex35197.1
mos,urn:cite:perseus:latlexent.lex35410.1
motus,urn:cite:perseus:latlexent.lex35425.1
moveo,urn:cite:perseus:latlexent.lex35428.1
mu,urn:cite:perseus:latlexent.lex35430.1
mula,urn:cite:perseus:latlexent.lex35454.1
mulceo,urn:cite:perseus:latlexent.lex35459.1
mulsum,urn:cite:perseus:latlexent.lex35497.1
multa,urn:cite:perseus:latlexent.lex35500.1
multo,urn:cite:perseus:latlexent.lex35583.1
multus,urn:cite:perseus:latlexent.lex35586.1
municeps,urn:cite:perseus:latlexent.lex35622.1
municipium,urn:cite:perseus:latlexent.lex35629.1
munimentum,urn:cite:perseus:latlexent.lex35640.1
munus,urn:cite:perseus:latlexent.lex35652.1
mus,urn:cite:perseus:latlexent.lex35709.1
mysta,urn:cite:perseus:latlexent.lex35867.1
mysterium,urn:cite:perseus:latlexent.lex35873.1
nam,urn:cite:perseus:latlexent.lex35905.1
natalis,urn:cite:perseus:latlexent.lex35973.1
natalis,urn:cite:perseus:latlexent.lex35974.1
nautilus,urn:cite:perseus:latlexent.lex36053.1
navicula,urn:cite:perseus:latlexent.lex36062.1
navis,urn:cite:perseus:latlexent.lex36075.1
navus,urn:cite:perseus:latlexent.lex36081.1
ne,urn:cite:perseus:latlexent.lex36085.1
ne,urn:cite:perseus:latlexent.lex36087.1
negotior,urn:cite:perseus:latlexent.lex36189.1
neo,urn:cite:perseus:latlexent.lex36208.1
nepos,urn:cite:perseus:latlexent.lex36223.1
no,urn:cite:perseus:latlexent.lex36429.1
nobilis,urn:cite:perseus:latlexent.lex36430.1
nomen,urn:cite:perseus:latlexent.lex36485.1
nona,urn:cite:perseus:latlexent.lex36505.1
nonus,urn:cite:perseus:latlexent.lex36541.1
nos,urn:cite:perseus:latlexent.lex36551.1
noster,urn:cite:perseus:latlexent.lex36560.1
numen,urn:cite:perseus:latlexent.lex36720.1
o,urn:cite:perseus:latlexent.lex5821.1
ob,urn:cite:perseus:latlexent.lex36853.1
obeliscus,urn:cite:perseus:latlexent.lex36898.1
oblatio,urn:cite:perseus:latlexent.lex36958.1
obscurus,urn:cite:perseus:latlexent.lex37112.1
offero,urn:cite:perseus:latlexent.lex37622.1
oleo,urn:cite:perseus:latlexent.lex37690.1
omnis,urn:cite:perseus:latlexent.lex37789.1
opera,urn:cite:perseus:latlexent.lex37846.1
operio,urn:cite:perseus:latlexent.lex37858.1
opos,urn:cite:perseus:latlexent.lex37944.1
opto,urn:cite:perseus:latlexent.lex38019.1
opus,urn:cite:perseus:latlexent.lex38032.1
ordinarius,urn:cite:perseus:latlexent.lex38085.1
ordior,urn:cite:perseus:latlexent.lex38094.1
ordo,urn:cite:perseus:latlexent.lex38096.1
orientalis,urn:cite:perseus:latlexent.lex38114.1
orno,urn:cite:perseus:latlexent.lex38150.1
oro,urn:cite:perseus:latlexent.lex38152.1
ovis,urn:cite:perseus:latlexent.lex38315.1
ovo,urn:cite:perseus:latlexent.lex38316.1
ovum,urn:cite:perseus:latlexent.lex38317.1
par,urn:cite:perseus:latlexent.lex38684.1
parens,urn:cite:perseus:latlexent.lex38779.1
parens,urn:cite:perseus:latlexent.lex38780.1
parento,urn:cite:perseus:latlexent.lex38787.1
pareo,urn:cite:perseus:latlexent.lex38788.1
pario,urn:cite:perseus:latlexent.lex38815.1
pario,urn:cite:perseus:latlexent.lex38816.1
pars,urn:cite:perseus:latlexent.lex38847.1
parthenium,urn:cite:perseus:latlexent.lex38853.1
pater,urn:cite:perseus:latlexent.lex38979.1
patria,urn:cite:perseus:latlexent.lex39010.1
patrius,urn:cite:perseus:latlexent.lex39030.1
patrius,urn:cite:perseus:latlexent.lex39031.1
patro,urn:cite:perseus:latlexent.lex39033.1
patronus,urn:cite:perseus:latlexent.lex39041.1
pax,urn:cite:perseus:latlexent.lex39114.1
per,urn:cite:perseus:latlexent.lex39400.1
percello,urn:cite:perseus:latlexent.lex39492.1
peregrinus,urn:cite:perseus:latlexent.lex39652.1
perpetuus,urn:cite:perseus:latlexent.lex40168.1
pertinax,urn:cite:perseus:latlexent.lex40409.1
peto,urn:cite:perseus:latlexent.lex40596.1
petronius,urn:cite:perseus:latlexent.lex40607.1
picus,urn:cite:perseus:latlexent.lex40835.1
pietas,urn:cite:perseus:latlexent.lex40838.1
pigeo,urn:cite:perseus:latlexent.lex40840.1
pio,urn:cite:perseus:latlexent.lex40939.1
pius,urn:cite:perseus:latlexent.lex41025.1
plautus,urn:cite:perseus:latlexent.lex41152.1
poena,urn:cite:perseus:latlexent.lex41291.1
pono,urn:cite:perseus:latlexent.lex41450.1
pons,urn:cite:perseus:latlexent.lex41451.1
pontifex,urn:cite:perseus:latlexent.lex41453.1
pontificius,urn:cite:perseus:latlexent.lex41456.1
pontus,urn:cite:perseus:latlexent.lex41461.1
populus,urn:cite:perseus:latlexent.lex41502.1
populus,urn:cite:perseus:latlexent.lex41503.1
porta,urn:cite:perseus:latlexent.lex41547.1
porticus,urn:cite:perseus:latlexent.lex41564.1
possum,urn:cite:perseus:latlexent.lex41607.1
post,urn:cite:perseus:latlexent.lex41608.1
posterus,urn:cite:perseus:latlexent.lex41623.1
postumus,urn:cite:perseus:latlexent.lex41680.1
potestas,urn:cite:perseus:latlexent.lex41702.1
potio,urn:cite:perseus:latlexent.lex41710.1
potior,urn:cite:perseus:latlexent.lex41713.1
potis,urn:cite:perseus:latlexent.lex41715.1
poto,urn:cite:perseus:latlexent.lex41725.1
praecipuus,urn:cite:perseus:latlexent.lex41822.1
praeeo,urn:cite:perseus:latlexent.lex41963.1
praefectus,urn:cite:perseus:latlexent.lex41981.1
praefectus,urn:cite:perseus:latlexent.lex41982.1
