Location,Tags
"urn:cite:shot:epigimg.IMG_4798@0.188,0.4467,0.124,0.0373",urn:cite:hclat:topic.ablpl3
"urn:cite:shot:epigimg.IMG_4798@0.303,0.448,0.131,0.0333",urn:cite:hclat:topic.ablpl3
"urn:cite:shot:epigimg.IMG_4798@0.428,0.4507,0.076,0.0347",urn:cite:hclat:topic.is
"urn:cite:shot:epigimg.IMG_4798@0.497,0.4547,0.062,0.028",urn:cite:hclat:topic.loc
"urn:cite:shot:epigimg.IMG_4798@0.551,0.452,0.102,0.0333",urn:cite:hclat:topic.adv
"urn:cite:shot:epigimg.IMG_5211@0.459,0.4613,0.293,0.1333",urn:cite:hclat:topic.adv
"urn:cite:shot:epigimg.IMG_5212@0.15,0.296,0.283,0.092",urn:cite:hclat:topic.datsg1
"urn:cite:shot:epigimg.IMG_5212@0.483,0.3027,0.206,0.08",urn:cite:hclat:topic.datsg1
"urn:cite:shot:epigimg.IMG_5212@0.67,0.3053,0.214,0.1133",urn:cite:hclat:topic.datsg1
"urn:cite:shot:epigimg.IMG_5212@0.211,0.3613,0.202,0.0773",urn:cite:hclat:topic.datsg3
"urn:cite:shot:epigimg.IMG_5212@0.453,0.3587,0.218,0.0853",urn:cite:hclat:topic.gensg1
"urn:cite:shot:epigimg.IMG_5212@0.124,0.4267,0.155,0.084",urn:cite:hclat:topic.relpro
"urn:cite:shot:epigimg.IMG_5212@0.255,0.412,0.327,0.0867",urn:cite:hclat:topic.ablsg2
"urn:cite:shot:epigimg.IMG_5212@0.575,0.4227,0.137,0.0787",urn:cite:hclat:topic.pftactind
"urn:cite:shot:epigimg.IMG_5212@0.708,0.4333,0.195,0.096",urn:cite:hclat:topic.datsg1
"urn:cite:shot:epigimg.IMG_5212@0.315,0.5373,0.369,0.08",urn:cite:hclat:topic.date
"urn:cite:shot:epigimg.IMG_5212@0.675,0.548,0.176,0.0907",urn:cite:hclat:topic.datsg3
"urn:cite:shot:epigimg.IMG_5212@0.835,0.5693,0.086,0.0787",urn:cite:hclat:topic.rfladj
"urn:cite:shot:epigimg.IMG_5212@0.094,0.6107,0.149,0.0773",urn:cite:hclat:topic.relpro
"urn:cite:shot:epigimg.IMG_5212@0.218,0.6027,0.158,0.0747",urn:cite:hclat:topic.ablpl2
"urn:cite:shot:epigimg.IMG_5212@0.823,0.624,0.116,0.08",urn:cite:hclat:topic.prespassub1
"urn:cite:shot:epigimg.IMG_5212@0.089,0.6573,0.407,0.084",urn:cite:hclat:topic.prep
"urn:cite:shot:epigimg.IMG_5212@0.148,0.6573,0.348,0.084",urn:cite:hclat:topic.ablsg2
"urn:cite:shot:epigimg.IMG_5212@0.514,0.668,0.142,0.076",urn:cite:hclat:topic.prespasinf3
"urn:cite:shot:epigimg.IMG_5212@0.66,0.672,0.173,0.0773",urn:cite:hclat:topic.pftactind
"urn:cite:shot:epigimg.IMG_5213@0.19,0.4987,0.346,0.1093",urn:cite:hclat:topic.pftactind
"urn:cite:shot:epigimg.IMG_5213@0.522,0.492,0.182,0.1027",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_5213@0.684,0.4907,0.251,0.1067",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_5213@0.112,0.5973,0.321,0.0987",urn:cite:hclat:topic.accpl3
"urn:cite:shot:epigimg.IMG_5214@0.06,0.3827,0.147,0.0667",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5214@0.56,0.6253,0.352,0.064",urn:cite:hclat:topic.supadj
