urn:cite:shot:epigimg.IMG_6723,"Colosseum, from Ostia","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_6724,"Colosseum, gerusiarch from Ostia","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_6725,Colosseum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7002,"Pompeii, theater","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7006,"Pompeii, shop","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7033,"Pompeii, amphitheater","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7042,"Pompeii, hosue","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7095,Naples Archaeological Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7113,"Naples Archaeological Museum, Temple of Isis","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7117,Naples Archaeological Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7119,Naples Archaeological Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7120,Naples Archaeological Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7121,Naples Archaeological Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7122,Naples Archaeological Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7123,Naples Archaeological Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7124,Naples Archaeological Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7125,Naples Archaeological Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7126,Naples Archaeological Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7127,Naples Archaeological Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
